kernel,executable_status,correctness,problem,raised_us,resident_cuda_us,raised_over_resident,baseline,statistic,hardware,notes
aten_lerp,EXECUTED,PASS,N=4194304,8391.043213,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_lerp_scalar,EXECUTED,PASS,N=4194304,6374.312024,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_lerp_scalar_cpu,EXECUTED,PASS,N=4194304,6529.977612,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_lerp_tensor_cpu,EXECUTED,PASS,N=4194304,8510.675208,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_linear_combination_cpu,EXECUTED,PASS,N=8388608 terms=4,26803.936018,892.532837,30.031316,cuBLAS Sgemv,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_log,EXECUTED,PASS,N=8388608 positive-domain,1508.672023,—,—,cutensorUnary_log_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_log_normal_cpu,EXECUTED,PASS,N=4194304,4496.142395,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_max_pool2d,EXECUTED,PASS,B=2 C=8 H=16 W=16 K=2 S=2,54.499200,—,—,cudnnMaxPoolFwd_batched,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,current expanded-window composition revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
aten_mean,RAISED_NO_LIBRARY_ROUTE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,1 Linalg op; reduction-plus-scale composition absent
aten_mish,EXECUTED,PASS,N=8388608,1568.364818,—,—,cutensorUnary_mish_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_mm,EXECUTED,PASS,M512 N512 K512,129.072,96.926,1.331655,cuBLAS Sgemm beta=0,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated | f32 cublasSgemm/Sgemv silicon re-run 2026-08-28 to match ATen-native f32; warm median runs 2-4
aten_mse_backward,EXECUTED,PASS,N=4194304,6516.175989,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_mse_elementwise,EXECUTED,PASS,N=4194304,6491.582409,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_mse_loss,EXECUTED,PASS,N=4194304,10339.659167,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,partial graph plus reduction; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_mv,EXECUTED,PASS,M4096 K4096,425.219,380.25,1.118262,cuBLAS Sgemv beta=1,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated | f32 cublasSgemm/Sgemv silicon re-run 2026-08-28 to match ATen-native f32; warm median runs 2-4
aten_narrow_copy_dense_cpu,EXECUTED,PASS,R=4096 C=4096 S=1024 L=2048,4895.276809,439.467194,11.139118,cudaMemcpy2D D2D,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_neg,EXECUTED,PASS,N=8388608,1489.017624,—,—,cutensorUnary_neg_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_nested_bmm_cpu,EXECUTED,PASS,B=16 M=256 N=256 K=256,5883.724801,—,—,cublasSgemm_strided_batched_nn_zero,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped path correctness-gated; cudaMalloc path unavailable because the generated ABI wrapper performs a host memcpy epilogue
aten_nested_clone_cpu,EXECUTED,PASS,B=4096 N=4096,6831.084797,695.862427,9.816717,cudaMemcpy D2D,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_nested_matmul_broadcast_cpu,EXECUTED,PASS,B16 M256 N256 K256,240.403228,176.012802,1.365828,"cuBLAS SgemmStridedBatched, broadcast RHS",warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_nested_softmax_backward_cpu,NO_LARGE_SHAPE_GRAPH,—,B=65536 N=64,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,partial graph epilogue matched only in canonical small IR; large-shape build emitted zero library launches
aten_nested_squeeze_cpu,EXECUTED,PASS,B=4096 N=4096,6792.927999,696.092773,9.758653,cudaMemcpy D2D,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_normal_cpu,EXECUTED,PASS,N=4194304,4605.601587,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_outer,EXECUTED,PASS,M=4096 N=4096 f32,666.838,376.978,1.768904,cuBLAS Sgemm outer product,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated | f32 cublasSgemm/Sgemv silicon re-run 2026-08-28 to match ATen-native f32; warm median runs 2-4
aten_prod,RAISED_NO_LIBRARY_ROUTE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,1 Linalg op; no product reduction route
aten_reciprocal,EXECUTED,PASS,N=8388608 positive-domain,1491.999999,—,—,cutensorUnary_reciprocal_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_reflection_pad2d,RAISED_NO_LIBRARY_ROUTE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,1 Linalg op; no reflection-padding route
aten_relu,EXECUTED,PASS,—,1489.439979,—,—,—,warm median of process runs 2-4,Jetson Orin sm87 MAXN,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_replication_pad2d,RAISED_NO_LIBRARY_ROUTE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,1 Linalg op; no replication-padding route
aten_rms_norm,EXECUTED,PASS,N8388608,13051.795214,841.404785,15.511910,fused CUDA RMSNorm reduction plus scale,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_rsqrt,EXECUTED,PASS,N=4194304,4618.699206,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_sigmoid,EXECUTED,PASS,—,1492.454391,—,—,—,warm median of process runs 2-4,Jetson Orin sm87 MAXN,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_sigmoid_backward,EXECUTED,PASS,N=4194304,6844.782398,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_silu,EXECUTED,PASS,—,1512.134401,—,—,—,warm median of process runs 2-4,Jetson Orin sm87 MAXN,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_silu_cpu,EXECUTED,PASS,N=8388608,1535.871997,—,—,cutensorUnary_silu_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_sin,EXECUTED,PASS,N=8388608,1576.147228,—,—,cutensorUnary_sin_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_sinh,EXECUTED,PASS,N=8388608,1522.617601,—,—,cutensorUnary_sinh_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_slow_conv3d_forward_cpu,EXECUTED,PASS,C8 O16 D48 H48 W48 K3,726.438407,364.764832,1.991525,cuDNN Conv3D,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_softmax,EXECUTED,PASS,N8388608,28666.707221,29212.042969,0.981332,cuDNN SoftmaxForward,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_softplus,RAISING_INCOMPLETE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,external logf/expf and branch leave one residual loop
aten_sparse_bmm_cpu,EXECUTED,PASS,B=16 M=256 N=256 K=256,5923.987180,—,—,cublasSgemm_strided_batched_nn_zero,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped path correctness-gated; cudaMalloc path unavailable because the generated ABI wrapper performs a host memcpy epilogue
aten_sparse_coo_softmax_backward_cpu,NO_LARGE_SHAPE_GRAPH,—,R=524288 K=8,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,partial graph epilogue matched only in canonical small IR; large-shape build emitted zero library launches
aten_sqrt,EXECUTED,PASS,N=8388608 positive-domain,1509.299176,—,—,cutensorUnary_sqrt_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_square,EXECUTED,PASS,N=4194304,4368.563245,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_sum,EXECUTED,PASS,M=65536 N=64,22665.804800,—,—,cubSegmentedSum_f64_memref,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6 CUB,full scaled segmented reduction revalidated 2026-09-05; errors=0 max_error=1.15463e-14; mapped host-pointer GPU execution
aten_sumproduct_pair_cpu,EXECUTED,PASS,B=16 M=256 N=256 K=256,5917.670391,—,—,cublasSgemm_strided_batched_nn_zero,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped path correctness-gated; cudaMalloc path unavailable because the generated ABI wrapper performs a host memcpy epilogue
aten_tan,EXECUTED,PASS,N=8388608,1596.230408,—,—,cutensorUnary_tan_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_tanh,EXECUTED,PASS,—,1492.140815,—,—,—,warm median of process runs 2-4,Jetson Orin sm87 MAXN,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_tanh_backward,EXECUTED,PASS,N=4194304,6672.932813,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_transpose_copy,RAISED_NO_LIBRARY_ROUTE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,permuted indexing intentionally rejected as copy
aten_unbind_copy_cpu,EXECUTED,PASS,B=4096 N=4096,6792.947184,702.041626,9.675989,cudaMemcpy D2D,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_uniform_cpu,EXECUTED,PASS,N=4194304,4649.033606,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_upsample_bilinear2d,RAISED_NO_LIBRARY_ROUTE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,1 Linalg op; no bilinear-resampling route
aten_upsample_nearest2d,RAISED_NO_LIBRARY_ROUTE,—,—,—,—,—,—,—,Jetson Orin sm87 MAXN,1 Linalg op; no nearest-neighbor route
aten_zeros_cpu,EXECUTED,PASS,N=16777216,2255.948773,374.880005,6.017789,cudaMemset,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_mul,EXECUTED,PASS,N=4194304,6689.513599,—,—,cuDNN Backend MUL graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph active; host-pointer transfers included
aten_erf,EXECUTED,PASS,N=4194304,4714.627222,—,—,cuDNN Backend ERF graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph active; max_error=5.96046e-08; host-pointer transfers included
aten_exp2,EXECUTED,PASS,N=4194304,4705.878369,—,—,cuDNN Backend MUL+EXP graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph active; max_error=1.19209e-07; host-pointer transfers included
aten_pow,EXECUTED,PASS,N=4194304,6745.651245,—,—,cuDNN Backend POW graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph active; max_error=1.19209e-07; host-pointer transfers included
aten_gelu_backward_cpu_exact,EXECUTED,PASS,N=4194304,8662.476807,—,—,cuDNN Backend 11-node pointwise graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full exact GELU backward graph active; max_error=1.19209e-07; host-pointer transfers included
aten_erfc,EXECUTED,PASS,N=4194304,4687.900806,—,—,cuDNN Backend ERF+SUB graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph active; max_error=1.19209e-07; host-pointer transfers included
aten_hypot,EXECUTED,PASS,N=4194304,6638.441602,—,—,cuDNN Backend MUL+ADD+SQRT graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph active; max_error=1.19209e-07; host-pointer transfers included
aten_logaddexp,EXECUTED,PASS,N=4194304,6651.606372,—,—,cuDNN Backend stable 8-node graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph active; exact test inputs; host-pointer transfers included
aten_logaddexp2,EXECUTED,PASS,N=4194304,6663.408008,—,—,cuDNN Backend stable 10-node graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph active; exact test inputs; host-pointer transfers included
aten_frac,EXECUTED,PASS,N=4194304,4705.321606,—,—,cuDNN Backend MOD graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph active; exact x-trunc(x) equivalence; host-pointer transfers included
aten_blas_sum_cpu,EXECUTED,PASS,N=8388608,246.425602,—,—,cudnnReduceSum_f32,warm median of 3 process runs; each mean of 10 calls,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,cuDNN general reduction; mapped host input; scalar tree-reassociation tolerance; process results 245.507201/246.425602/248.783990 us
aten_trace_cpu,EXECUTED,PASS,N=4096 matrix; 4096 diagonal elements,58.339210,—,—,cudnnReduceTrace_f32,warm median of 3 process runs; each mean of 10 calls,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,cuDNN strided diagonal reduction; no diagonal materialization; process results 68.409601/55.897608/58.339210 us
aten_channel_shuffle,EXECUTED,PASS,B=1 G=8 CPG=128 H=64 W=128 (8388608 outputs),273276.928000,—,—,cutensorPermute_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6 cuTENSOR,rank-reduced input/output slices; device median 2.556960 ms; host-pointer transfers included
aten_channel_shuffle_cpu,EXECUTED,PASS,B=1 G=8 CPG=128 S=8192 (8388608 outputs),274431.456000,—,—,cutensorPermute_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6 cuTENSOR,rank-3 group/channel transpose; device median 2.545280 ms; host-pointer transfers included
aten_pixel_shuffle,EXECUTED,PASS,B=1 C=128 R=2 H=W=128 (8388608 outputs),274212.160000,—,—,cutensorPermute_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6 cuTENSOR,rank-reduced rank-5 permutation; device median 2.897024 ms; host-pointer transfers included
aten_pixel_shuffle_cpu_backend,EXECUTED,PASS,B=1 C=128 H=W=128 R=2 (8388608 outputs),275883.296000,—,—,cutensorPermute_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6 cuTENSOR,reshape-permute stage; device median 2.909504 ms; host-pointer transfers included
aten_pixel_unshuffle_cpu_backend,EXECUTED,PASS,B=1 C=128 H=W=128 R=2 (8388608 outputs),272693.344000,—,—,cutensorPermute_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6 cuTENSOR,inverse reshape-permute stage; device median 2.500608 ms; host-pointer transfers included
aten_transpose_copy,EXECUTED,PASS,M=2048 N=4096 (8388608 outputs),274933.888000,—,—,cutensorPermute_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6 cuTENSOR,rank-2 transpose; device median 2.529920 ms; host-pointer transfers included
aten_stack_serial_cpu,EXECUTED,PASS,T=8 R=128 K=8192 (8388608 outputs),274474.688000,—,—,cutensorPermute_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6 cuTENSOR,rank-3 stack-axis permutation; device median 2.526080 ms; host-pointer transfers included
aten_gelu_backward_cpu_tanh,EXECUTED,PASS,N=4194304,14316.694409,—,—,two cuDNN Backend pointwise operation graphs,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,18-node scalar DAG partitioned into 6-node and 13-node graphs; both plans active; no CPU fallback; host-pointer intermediate and transfers included
aten_cumsum,EXECUTED,PASS,N=8388608,16616.819238,—,—,CUB DeviceScan InclusiveSum,warm mean of 5 calls after one validation call,Jetson Orin sm87 MAXN CUDA 12.6 CUB,loop-carried scalar plus vector result recognized as inclusive scan; terminal tensor write-back eliminated; host-pointer transfers and CUB allocation included
aten_cumprod_cpu,EXECUTED,PASS,R=32 K=64,150.832000,—,—,cubSegmentedInclusiveProduct2D_f32_tensor,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6 CUB,current expanded-final-value composition revalidated 2026-09-05; errors=0 max_error=2.98023e-08; mapped host-pointer GPU execution
aten_nested_batch_offsets_cpu,EXECUTED,PASS,B=4194302,13240.691200,—,—,cubExclusiveSum1D_i32_memref,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,current matcher and lowering revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
aten_elu_backward,EXECUTED,PASS,N=4194304,8705.961621,—,—,cuDNN Backend pointwise graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,ordered branch lowered through RELU_BWD numeric mask; 8-node plan active; wide inputs exercise both branches
aten_hardshrink,EXECUTED,PASS,N=4194304,4672.086377,—,—,cuDNN Backend pointwise graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,compound predicate lowered through two numeric masks; 8-node plan active; wide inputs exercise all branches
aten_hardswish_backward,EXECUTED,PASS,N=4194304,8546.879956,—,—,cuDNN Backend pointwise graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,nested ordered selects lowered through numeric masks; 11-node plan active; exact -3 and 3 boundaries included
aten_hardtanh_backward,EXECUTED,PASS,N=4194304,6653.488037,—,—,cuDNN Backend pointwise graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,compound predicate lowered through two numeric masks; 8-node plan active
aten_huber_backward,EXECUTED,PASS,N=4194304,6652.921606,—,—,cuDNN Backend pointwise graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,piecewise Huber derivative; 10-node plan active; varied input-target differences exercise all branches
aten_huber_elementwise,EXECUTED,PASS,N=4194304,6673.948804,—,—,cuDNN Backend pointwise graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,piecewise Huber loss; 10-node plan active; varied input-target differences exercise all branches
aten_shrink_backward,EXECUTED,PASS,N=4194304,6626.259180,—,—,cuDNN Backend pointwise graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,compound predicate lowered through two numeric masks; 8-node plan active
aten_smooth_l1_backward,EXECUTED,PASS,N=4194304,6629.321606,—,—,cuDNN Backend pointwise graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,piecewise smooth-L1 derivative; 11-node plan active; varied input-target differences exercise all branches
aten_smooth_l1_elementwise,EXECUTED,PASS,N=4194304,6637.497632,—,—,cuDNN Backend pointwise graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,piecewise smooth-L1 loss; 10-node plan active; varied input-target differences exercise all branches
aten_softplus_backward,EXECUTED,PASS,N=4194304,8552.384033,—,—,cuDNN Backend pointwise graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,softplus derivative plus threshold mask; 10-node plan active; wide inputs exercise both paths
aten_softshrink,EXECUTED,PASS,N=4194304,4672.825562,—,—,cuDNN Backend pointwise graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,nested ordered selects lowered through numeric masks; 10-node plan active; wide inputs exercise all branches
aten_threshold_backward,EXECUTED,PASS,N=4194304,6661.440039,—,—,cuDNN Backend pointwise graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,arbitrary scalar threshold lowered through RELU_BWD numeric mask; 4-node plan active
aten_count_nonzero_cpu,EXECUTED,PASS,N=8388608,2431.248022,—,—,CUB DeviceReduce Sum with transform iterator,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 CUB,predicate is fused into input iterator; no materialized mask; host-pointer transfers and allocations included
aten_count_nonzero_impl_cpu,EXECUTED,PASS,R=32 C=64,96.384000,—,—,cubSegmentedCountNonzero2D_f32_tensor,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6 CUB,current expanded-segment composition revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
aten_equal_cpu,EXECUTED,PASS,N=8388608,8547.996777,—,—,CUB DeviceReduce Min with transform iterator,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 CUB,index transform compares two inputs; mismatch case validated; host-pointer transfers and allocations included
aten_allany_dims_cpu,EXECUTED,PASS,R=131072 C=64 (8388608 inputs),16174.080000,7182.464001,2.251885,CUB DeviceSegmentedReduce logical select,median of 5 sequential process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 CUB,complete runtime-selected all-or-any composition; host and device-resident paths errors=0 max_error=0
aten_and_reduce_cpu,EXECUTED,PASS,R=32 K=64,95.158400,—,—,cubSegmentedLogicalAnd_i32,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6 CUB,current expanded-segment composition revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
aten_argmax_cpu,EXECUTED,PASS,R=131072 K=64 (8388608 inputs),24559.094400,14085.503998,1.743572,CUB DeviceSegmentedReduce transformed value/index pairs,median of 5 sequential process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 CUB,complete seeded argmax composition; first-index ties and first/later NaNs validated; errors=0 max_error=0
aten_argmin_cpu,EXECUTED,PASS,R=131072 K=64 (8388608 inputs),24712.825601,14041.344002,1.760004,CUB DeviceSegmentedReduce transformed value/index pairs,median of 5 sequential process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 CUB,complete seeded argmin composition; first-index ties and first/later NaNs validated; errors=0 max_error=0
aten_sinc,EXECUTED,PASS,N=8388608,61557.731128,—,—,cuDNN Backend pointwise graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,five-node normalized sinc graph active; zero errors
aten_conv_transpose2d,EXECUTED,PASS,B=2 IC=16 OC=32 H=128 W=128 K=3,1351.651200,—,—,cuDNN ConvolutionBackwardData,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,expanded-submap whole transposed-convolution composition revalidated 2026-09-05; errors=0 max_error=1.33514e-05; mapped host-pointer GPU execution
aten_depthwise_conv3x3_cpu,EXECUTED,PASS,B=2 C=64 H=256 W=256,6312.688000,—,—,cuDNN grouped ConvolutionForward plus AddTensor bias,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,expanded-batch bias-plus-depthwise composition revalidated 2026-09-05; errors=0 max_error=9.53674e-07; mapped host-pointer GPU execution
aten_kron_impl_cpu,EXECUTED,PASS,A=256 B=128 C=32 D=32 (33554432 outputs),24155.737600,—,—,cuTENSOR mode-based elementwise trinary,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6 cuTENSOR,expanded-submap whole Kronecker mapping revalidated 2026-09-05; errors=0; mapped host-pointer GPU execution
aten_kron_out_cpu,EXECUTED,PASS,A=256 B=128 C=32 D=32 (33554432 outputs),23966.643200,—,—,cuTENSOR mode-based elementwise trinary,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6 cuTENSOR,expanded-submap whole Kronecker mapping revalidated 2026-09-05; errors=0; mapped host-pointer GPU execution
aten_binary_cross_entropy,EXECUTED,PASS,N=8388608,120604.016000,—,—,cudnnBinaryCrossEntropyMean_f32_memref,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,current matcher and lowering revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
